"","gridcode","OBJECTID","Join_Count","TARGET_FID","Id","Id_1","gridcode_1","Shape_Length","Shape_Area","area_ha","cost_ha","new_prob","cum_area_ha"
"29",188,12084,6,12084,12084,10978,216482,3200,630000,63,3436.22222222222,0.9558,30381
"2732",14737,1961,4,1961,1961,1920,348739,3400,7e+05,70,4981.98571428571,0.60645,30451
"4599",25570,11181,2,11181,11181,10174,40370,3000,560000,56,720.892857142857,0.41985,30507
"1213",8975,6632,5,6632,6632,6336,184820,4600,1200000,120,1540.16666666667,0.8073,30627
"5698",31531,20493,17,20493,20493,19775,296723,11600,2690000,269,1103.0594795539,0.2721,30896
"37",212,12064,3,12064,12064,10975,269110,3600,8e+05,80,3363.875,0.9546,30976
"4607",25609,11487,11,11487,11487,10118,22165,23000,11740000,1174,18.8798977853492,0.41865,32150
"3209",17141,798,3,798,798,782,14452800,2800,490000,49,294955.102040816,0.54825,32199
"2708",14627,6349,11,6349,6349,6208,1208512,10000,2080000,208,5810.15384615385,0.6093,32407
"2079",11989,7894,3,7894,7894,7644,756704,6800,1440000,144,5254.88888888889,0.68925,32551
"2168",12409,3480,6,3480,3480,3298,152054,3400,720000,72,2111.86111111111,0.67905,32623
"4935",27474,9409,2,9409,9409,9144,149195,3000,560000,56,2664.19642857143,0.3756,32679
"1698",10738,4827,1,4827,4827,4686,431773,3400,720000,72,5996.84722222222,0.73965,32751
"5601",31016,7150,5,7150,7150,6981,298723,3600,8e+05,80,3734.0375,0.28575,32831
"3665",20295,9604,2,9604,9604,9284,825515,3600,8e+05,80,10318.9375,0.4944,32911
"5710",31609,6842,11,6842,6842,6456,178100,7000,2160000,216,824.537037037037,0.2703,33127
"4952",27563,9239,4,9239,9239,9001,44600,3400,7e+05,70,637.142857142857,0.37365,33197
"5570",30905,7192,9,7192,7192,6868,8080,6400,1920000,192,42.0833333333333,0.2901,33389
"619",5778,8579,3,8579,8579,8304,38700,4000,1e+06,100,387,0.88785,33489
"4740",26387,20593,7,20593,20593,19346,181009,6400,1260000,126,1436.57936507937,0.40155,33615
"2492",13871,5355,7,5355,5355,5051,284510,6400,1260000,126,2258.01587301587,0.63885,33741
"609",5691,26432,7,26432,26432,25829,1264450,11200,2470000,247,5119.23076923077,0.88935,33988
"5125",28465,35846,19,35846,35846,34928,1737598,14600,3180000,318,5464.14465408805,0.35235,34306
"1064",8277,6947,2,6947,6947,6780,104595,3400,7e+05,70,1494.21428571429,0.82875,34376
"6756",35346,2920,2,2920,2920,2759,159255,3400,7e+05,70,2275.07142857143,0.12285,34446
"1650",10617,5183,3,5183,5183,5037,39194,3400,7e+05,70,559.914285714286,0.7467,34516
"2945",15579,2959,6,2959,2959,2815,323030,6400,1270000,127,2543.54330708661,0.5805,34643
"1588",10471,5353,1,5353,5353,5207,10349847,3600,8e+05,80,129373.0875,0.75585,34723
"890",7301,7515,2,7515,7515,7343,90775,3400,7e+05,70,1296.78571428571,0.8526,34793
"1974",11657,4291,6,4291,4291,4065,185277,5000,1260000,126,1470.45238095238,0.70365,34919
"6292",33532,9404,8,9404,9404,8849,405308,10600,3160000,316,1282.62025316456,0.1869,35235
"3505",18589,375,17,375,375,167,1620100,15400,5030000,503,3220.87475149105,0.50745,35738
"209",1666,11078,4,11078,11078,10075,64506,2800,490000,49,1316.44897959184,0.9324,35787
"5151",28700,8423,1,8423,8423,8236,258226,3600,8e+05,80,3227.825,0.3486,35867
"887",7286,15386,6,15386,15386,14961,961238,6800,1460000,146,6583.82191780822,0.85305,36013
"5183",28827,8468,2,8468,8468,8199,43025,6000,1610000,161,267.23602484472,0.34485,36174
"1356",9787,6105,3,6105,6105,5952,166433,3600,8e+05,80,2080.4125,0.7884,36254
"6682",34967,3112,2,3112,3112,3025,125042,2800,490000,49,2551.87755102041,0.1335,36303
"1105",8520,7058,5,7058,7058,6796,61366,5000,1360000,136,451.220588235294,0.8229,36439
"396",3871,9665,2,9665,9665,9270,640497,3000,560000,56,11437.4464285714,0.91245,36495
"2282",13018,3176,4,3176,3176,2998,114397,2800,490000,49,2334.63265306122,0.6657,36544
"985",8011,7201,2,7201,7201,7033,74595,3600,8e+05,80,932.4375,0.83985,36624
"5088",28307,17470,8,17470,17470,16918,405668,8800,2400000,240,1690.28333333333,0.357,36864
"479",4752,9491,6,9491,9491,9140,13729,3000,560000,56,245.160714285714,0.90315,36920
"4296",23715,6802,6,6802,6802,6570,101492,3600,8e+05,80,1268.65,0.45975,37000
"534",5259,8784,3,8784,8784,8507,204545,3600,8e+05,80,2556.8125,0.89745,37080
"1397",10000,5954,3,5954,5954,5642,4706228,4400,1050000,105,44821.219047619,0.78315,37185
"940",7656,7633,3,7633,7633,7378,108107,6800,1890000,189,571.994708994709,0.8463,37374
"870",7147,15376,11,15376,15376,14862,1190398,6000,1120000,112,10628.5535714286,0.85515,37486
"98",629,11766,4,11766,11766,10662,96995,5000,1260000,126,769.801587301587,0.94605,37612
"2775",14851,1993,2,1993,1993,1951,50800,2800,490000,49,1036.73469387755,0.6006,37661
"3516",18636,128,6,128,128,86,452900,3400,7e+05,70,6470,0.50595,37731
"3222",17190,801,2,801,801,785,150000,3400,7e+05,70,2142.85714285714,0.5466,37801
"7235",36972,3825,16,3825,3825,3693,251171,13000,2640000,264,951.405303030303,0.05445,38065
"2027",11826,3928,1,3928,3928,3803,94742,3200,640000,64,1480.34375,0.6966,38129
"5275",29193,8020,4,8020,8020,7757,81857,3000,560000,56,1461.73214285714,0.3318,38185
"3295",17479,1212,7,1212,1212,1192,487820,6800,1440000,144,3387.63888888889,0.5364,38329
"470",4711,9401,2,9401,9401,9136,62088,2800,490000,49,1267.10204081633,0.9039,38378
"3510",18616,101,4,101,101,61,123509,3000,560000,56,2205.51785714286,0.5067,38434
"4289",23693,7136,8,7136,7136,6798,137058,8600,2800000,280,489.492857142857,0.4608,38714
"6267",33437,10067,9,10067,10067,9521,3651425,12800,3750000,375,9737.13333333333,0.1902,39089
"4128",22711,10403,2,10403,10403,9730,37421,3200,640000,64,584.703125,0.4728,39153
