"","gridcode","OBJECTID","Join_Count","TARGET_FID","Id","Id_1","gridcode_1","Shape_Length_1","Shape_Area_1","Shape_Length","Shape_Area","area_ha","cum_area_ha"
"4616",25235,11533,1,11533,11533,2655,42,3026520,4013760600,3400,700000,70,1003683
"7681",38965,11786,2,11786,11786,2616,71,16980,8833500,2800,490000,49,1003732
"6289",33295,5106,6,5106,5106,1022,41,3480,734400,4400,1050000,105,1003837
"5730",31235,7145,1,7145,7145,1611,42,11820,4055400,4800,1190000,119,1003956
"8453",43133,4711,5,4711,4711,913,43,11880,4177800,3600,800000,80,1004036
"4494",24242,11760,1,11760,11760,2582,71,2880,518400,2800,490000,49,1004085
"1263",8885,6732,2,6732,6732,1474,42,4860,1231200,3000,560000,56,1004141
"1218",8710,6748,3,6748,6748,1501,43,18360,9614700,3400,700000,70,1004211
"933",7007,7671,3,7671,7671,1748,42,3480,734400,4000,1000000,100,1004311
"2252",12751,3270,1,3270,3270,2030,41,3179280,3713202000,3600,800000,80,1004391
"2829",15306,5318,5,5318,5318,1164,63,38340,14976900,10200,2190000,219,1004610
"8581",43724,2298,2,2298,2298,502,43,11580,4473900,11400,5690000,569,1005179
"6567",34243,3935,2,3935,3935,869,41,25800,14211000,3000,560000,56,1005235
"2463",13820,2902,3,2902,2902,571,81,17040,7202700,3200,630000,63,1005298
"1174",8482,7063,3,7063,7063,1542,21,3240,656100,3200,630000,63,1005361
"7632",38731,11961,2,11961,11961,2642,71,3360,683100,2800,490000,49,1005410
"4677",25680,11132,2,11132,11132,2435,71,3060,583200,3800,900000,90,1005500
"1190",8606,6937,2,6937,6937,1599,43,71520,45871200,5400,1700000,170,1005670
"935",7033,15698,5,15698,15698,3625,124,183600,165995100,8400,2260000,226,1005896
"1853",11088,9772,7,9772,9772,1943,112,6420,1271700,12800,4820000,482,1006378
"4632",25368,11283,1,11283,11283,2655,42,3026520,4013760600,5400,1620000,162,1006540
"2797",15114,1741,1,1741,1741,408,21,12000,4885200,4000,1000000,100,1006640
"2155",12205,3763,4,3763,3763,723,42,2760,476100,5400,1700000,170,1006810
"7288",37020,867,2,867,867,154,42,3420,703800,3000,560000,56,1006866
