"","l","k","m","ic.cohort.biomass.gm"
"350","72","PinuTaed","10","471.49834745109"
"351","72","PinuPalu","10","5.39626148728"
"352","72","PinuPalu","60","1875.2008668298"
"353","72","PinuPalu","40","567.95652153622"
"354","72","PinuPalu","30","170.65676953523"
"355","72","PinuPalu","50","339.96447369864"
"356","73","AcerRubr","80","194.26541354208"
"357","73","AcerRubr","20","2.02359805773"
"358","73","PinuTaed","10","1411.12237892372"
"359","73","LiquStyr","20","44.51915727006"
"360","73","LiquStyr","30","46.54275532779"
"361","73","LiquStyr","140","636.75885549904"
"362","74","AcerRubr","30","149.07172358611"
"363","74","AcerRubr","40","252.94975721625"
"364","74","AcerRubr","20","5.39626148728"
"365","74","PinuTaed","10","595.61236165853"
"366","74","LiquStyr","10","1.34906537182"
"367","74","LiquStyr","20","201.68527308709"
"368","75","AcerRubr","30","92.41097796967"
"369","75","LiquStyr","10","2.69813074364"
"370","75","PinuTaed","10","284.65279345402"
"371","76","PinuPalu","110","647.5513784736"
"372","76","PinuPalu","50","398.64881737281"
"373","76","PinuPalu","40","82.96752036693"
"374","76","PinuPalu","60","434.39904972604"
"375","76","PinuPalu","70","498.47965488749"
"376","76","PinuPalu","80","586.8434367417"
"377","76","PinuPalu","90","493.08339340021"
"378","76","PinuPalu","30","15.51425177593"
"379","76","PinuPalu","120","341.31353907046"
"380","77","PinuTaed","10","2240.12304990711"
"381","77","LiquStyr","10","5.39626148728"
"382","77","AcerRubr","10","8.76892491683"
"383","78","PinuTaed","10","3195.93586584158"
"384","78","LiquStyr","20","632.71165938358"
"385","78","LiquStyr","10","0.67453268591"
"386","78","LiriTuli","50","802.6938962329"
"387","78","LiriTuli","30","49.24088607143"
"388","78","AcerRubr","40","308.26143746087"
"389","78","AcerRubr","30","15.51425177593"
"390","79","PinuPalu","40","31.02850355186"
"391","80","LiquStyr","20","134.23200449609"
"392","80","PinuTaed","10","41.14649384051"
"393","80","QuerAlba","20","39.12289578278"
"394","81","PinuTaed","10","4860.00800198155"
"395","81","PinuPalu","30","472.84741282291"
"396","82","AcerRubr","40","74.1985954501"
"397","82","QuerAlba","30","195.6144789139"
"398","83","OxydArbo","30","94.4345760274"
"399","83","LiquStyr","30","201.68527308709"
"400","83","LiquStyr","20","66.77873590509"
"401","83","LiquStyr","40","414.16306914874"
"402","83","LiquStyr","50","390.55442514189"
"403","83","LiriTuli","90","113.99602391879"
"404","83","LiriTuli","140","503.87591637477"
"405","83","CornFlor","10","0.67453268591"
"406","83","AcerRubr","40","242.8317669276"
"407","83","AcerRubr","50","169.30770416341"
"408","84","LiriTuli","40","225.96844977985"
"409","84","LiriTuli","70","997.63384246089"
"410","84","PinuTaed","10","2300.83099163901"
"411","84","QuerAlba","30","167.95863879159"
"412","84","QuerAlba","40","1154.79995827792"
"413","84","QuerAlba","20","60.7079417319"
"414","84","AcerRubr","20","88.36378185421"
"415","84","AcerRubr","40","537.60255067027"
"416","84","LiquStyr","10","6.07079417319"
"417","84","PinuEnch","30","196.28901159981"
"418","85","QuerAlba","20","118.04322003425"
"419","85","QuerAlba","30","317.70489506361"
"420","86","PinuTaed","10","1154.12542559201"
"421","86","AcerRubr","20","10.79252297456"
"422","87","AcerRubr","20","10.11799028865"
"423","87","AcerRubr","50","535.57895261254"
"424","87","LiriTuli","40","132.20840643836"
"425","87","LiquStyr","30","98.48177214286"
"426","87","LiquStyr","20","91.06191259785"
"427","87","LiquStyr","10","4.72172880137"
"428","87","LiquStyr","40","619.22100566538"
"429","87","OxydArbo","10","0.67453268591"
"430","87","QuerAlba","40","131.53387375245"
"431","88","LiquStyr","30","157.84064850294"
"432","88","LiquStyr","40","1259.35252459397"
"433","88","LiquStyr","20","39.12289578278"
"434","88","QuerAlba","40","453.28596493152"
"435","88","LiriTuli","70","275.88386853719"
"436","88","AcerRubr","10","1.34906537182"
"437","88","OxydArbo","20","12.14158834638"
"438","88","PinuTaed","10","1160.1962197652"
"439","89","PinuTaed","10","0.67453268591"
"440","89","LiquStyr","10","0.67453268591"
"441","90","PinuTaed","10","520.06470083661"
"442","90","PinuPalu","20","49.24088607143"
"443","90","PinuPalu","30","642.15511698632"
"444","90","QuerLaev","10","29.00490549413"
"445","91","PinuTaed","10","2891.04709181026"
"446","92","LiquStyr","10","10.11799028865"
"447","92","LiquStyr","20","120.74135077789"
"448","92","PinuTaed","10","609.10301537673"
"449","93","LiquStyr","20","124.11401420744"
"450","93","PinuTaed","10","10.79252297456"
"451","93","AcerRubr","40","499.82872025931"
"452","93","AcerRubr","30","126.13761226517"
"453","93","AcerRubr","20","51.93901681507"
"454","94","LiriTuli","20","78.92032425147"
"455","94","LiriTuli","40","220.57218829257"
"456","94","LiriTuli","10","1.34906537182"
"457","94","LiriTuli","30","299.49251254404"
"458","94","LiriTuli","50","230.69017858122"
"459","94","AcerRubr","20","2.02359805773"
"460","94","AcerRubr","50","277.23293390901"
"461","94","PinuVirg","20","35.75023235323"
"462","94","OxydArbo","30","290.0490549413"
"463","95","PinuVirg","50","370.9929772505"
"464","95","PinuVirg","90","204.38340383073"
"465","95","PinuVirg","60","173.35490027887"
"466","95","QuerAlba","40","55.98621293053"
"467","95","PinuEnch","70","148.3971909002"
"468","95","LiriTuli","40","79.59485693738"
"469","95","LiriTuli","60","61.38247441781"
"470","95","LiriTuli","50","19.56144789139"
"471","95","LiriTuli","20","12.81612103229"
"472","95","LiriTuli","70","46.54275532779"
"473","95","OxydArbo","10","1.34906537182"
"474","96","PinuPalu","10","30.35397086595"
"475","96","LiriTuli","10","3.37266342955"
"476","97","QuerAlba","40","298.14344717222"
"477","97","LiriTuli","40","60.7079417319"
"478","98","LiquStyr","30","220.57218829257"
"479","98","QuerAlba","50","397.29975200099"
"480","99","LiquStyr","140","602.35768851763"
"481","99","AcerRubr","40","58.00981098826"
"482","99","AcerRubr","90","381.78550022506"
"483","99","OxydArbo","30","127.48667763699"
"484","99","LiriTuli","100","95.10910871331"
"485","99","LiriTuli","70","44.51915727006"
"486","99","CornFlor","20","47.2172880137"
"487","99","QuerAlba","130","3377.38515835137"
"488","100","QuerAlba","130","1670.14293031316"
"489","100","QuerAlba","30","43.17009189824"
"490","100","QuerAlba","70","210.45419800392"
"491","100","PinuTaed","10","690.72147037184"
"492","100","AcerRubr","90","407.41774228964"
"493","100","AcerRubr","60","141.6518640411"
"494","100","LiquStyr","20","19.56144789139"
"495","100","CornFlor","10","2.02359805773"
"496","101","LiquStyr","20","162.56237730431"
"497","101","LiquStyr","10","4.72172880137"
"498","101","LiriTuli","30","240.13363618396"
"499","101","LiriTuli","20","89.03831454012"
"500","101","LiriTuli","10","1.34906537182"
"501","101","AcerRubr","10","0.67453268591"
"502","101","AcerRubr","40","221.24672097848"
"503","101","AcerRubr","20","84.99111842466"
"504","101","AcerRubr","30","53.9626148728"
"505","101","PinuTaed","10","366.94578113504"
"506","102","LiquStyr","20","19.56144789139"
"507","102","PinuEnch","30","28.33037280822"
"508","102","AcerRubr","20","8.09439223092"
"509","102","PinuTaed","10","972.67613308222"
"510","102","QuerLaev","20","49.91541875734"
"511","102","QuerAlba","30","151.76985432975"
"512","102","QuerAlba","20","38.44836309687"
"513","102","OxydArbo","10","1.34906537182"
"514","103","PinuTaed","10","37.77383041096"
"515","103","AcerRubr","20","4.04719611546"
"516","103","LiquStyr","10","8.09439223092"
"517","103","LiquStyr","20","62.05700710372"
"518","103","QuerAlba","20","52.61354950098"
"519","103","QuerAlba","10","0.67453268591"
"520","103","QuerAlba","30","141.6518640411"
"521","103","CornFlor","20","36.42476503914"
"522","104","PinuVirg","30","495.78152414385"
"523","104","LiriTuli","70","644.85324772996"
"524","104","LiriTuli","40","101.1799028865"
"525","104","LiriTuli","60","294.09625105676"
"526","104","LiriTuli","30","60.7079417319"
"527","104","LiriTuli","50","137.60466792564"
"528","104","LiriTuli","80","474.87101088064"
"529","104","CornFlor","20","2.02359805773"
"530","104","AcerRubr","20","5.39626148728"
"531","104","AcerRubr","40","80.9439223092"
"532","104","QuerAlba","20","35.75023235323"
"533","104","QuerAlba","50","446.54063807242"
"534","104","QuerAlba","60","984.8177214286"
"535","104","QuerAlba","40","181.44929250979"
"536","105","LiquStyr","20","394.60162125735"
"537","105","LiquStyr","10","7.41985954501"
"538","105","QuerAlba","20","36.42476503914"
"539","105","LiriTuli","10","6.7453268591"
"540","105","LiriTuli","30","409.44134034737"
"541","105","AcerRubr","20","26.9813074364"
"542","105","AcerRubr","30","35.07569966732"
"543","105","AcerRubr","10","0.67453268591"
"544","105","PinuEnch","30","74.87312813601"
"545","105","PinuTaed","10","351.43152935911"
"546","105","CornFlor","20","24.95770937867"
"547","105","CornFlor","10","0.67453268591"
"548","106","PinuTaed","10","80.9439223092"
"549","107","PinuTaed","10","2988.1797985813"
"550","107","LiquStyr","20","431.02638629649"
"551","107","LiquStyr","10","18.21238251957"
"552","107","LiriTuli","40","843.1658573875"
"553","107","LiriTuli","20","50.58995144325"
"554","107","AcerRubr","30","66.77873590509"
"555","108","PinuTaed","10","5597.27222768118"
"556","108","LiriTuli","40","127.48667763699"
"557","108","LiriTuli","30","59.35887636008"
"558","108","LiquStyr","20","255.64788795989"
"559","108","LiquStyr","10","1.34906537182"
"560","108","QuerAlba","40","242.15723424169"
"561","108","AcerRubr","20","23.60864400685"
"562","108","AcerRubr","30","103.87803363014"
"563","108","OxydArbo","10","0.67453268591"
"564","109","PinuTaed","10","454.63503030334"
"565","109","PinuVirg","20","94.4345760274"
"566","110","LiriTuli","10","3.37266342955"
"567","110","LiriTuli","20","4.04719611546"
"568","110","LiriTuli","30","40.4719611546"
"569","110","AcerRubr","20","9.44345760274"
"570","110","AcerRubr","40","64.75513784736"
"571","110","LiquStyr","10","7.41985954501"
"572","110","LiquStyr","20","89.03831454012"
"573","110","PinuTaed","10","458.6822264188"
"574","110","QuerAlba","20","124.11401420744"
"575","110","QuerAlba","50","432.37545166831"
"576","110","QuerAlba","40","408.76680766146"
"577","110","QuerAlba","30","53.9626148728"
"578","110","QuerAlba","70","398.64881737281"
"579","110","CornFlor","10","0.67453268591"
"580","110","CornFlor","20","4.72172880137"
"581","111","PinuTaed","10","2876.88190540615"
"582","111","LiquStyr","20","269.813074364"
"583","111","LiquStyr","10","5.39626148728"
"584","111","LiquStyr","30","162.56237730431"
"585","111","AcerRubr","30","95.10910871331"
"586","112","PinuTaed","10","2600.32350418305"
"587","112","LiquStyr","10","2.02359805773"
"588","112","LiquStyr","20","3.37266342955"
"589","112","AcerRubr","10","0.67453268591"
"590","112","AcerRubr","20","2.02359805773"
"591","113","PinuTaed","10","833.04786709885"
"592","114","PinuTaed","10","518.71563546479"
"593","114","LiquStyr","10","1.34906537182"
"594","114","LiquStyr","20","2.69813074364"
"595","115","AcerRubr","20","26.30677475049"
"596","115","AcerRubr","30","124.11401420744"
"597","115","PinuTaed","10","499.82872025931"
"598","116","AcerRubr","30","67.453268591"
"599","116","PinuPalu","30","526.81002769571"
"600","116","LiriTuli","50","215.8504594912"
"601","116","LiriTuli","40","90.38737991194"
"602","117","PinuTaed","10","116.69415466243"
"603","118","PinuTaed","10","3256.64380757348"
"604","118","PinuTaed","20","940.29856415854"
"605","118","PinuEnch","40","283.97826076811"
"606","118","PinuEnch","30","29.00490549413"
"607","118","LiriTuli","30","60.7079417319"
"608","118","LiquStyr","30","198.31260965754"
"609","119","PinuVirg","30","157.16611581703"
"610","119","LiquStyr","20","19.56144789139"
"611","119","LiquStyr","10","0.67453268591"
"612","119","LiquStyr","30","277.23293390901"
"613","119","LiriTuli","20","3.37266342955"
"614","119","LiriTuli","10","0.67453268591"
"615","119","LiriTuli","40","90.38737991194"
"616","119","LiriTuli","60","117.36868734834"
"617","119","LiriTuli","50","56.66074561644"
"618","119","AcerRubr","30","11.46705566047"
"619","119","AcerRubr","20","27.65584012231"
"620","119","AcerRubr","40","198.31260965754"
"621","119","QuerAlba","90","1032.0350094423"
"622","119","PinuTaed","10","66.10420321918"
"623","120","PinuTaed","10","4110.60218793554"
"624","120","AcerRubr","20","54.63714755871"
"625","120","LiquStyr","20","269.13854167809"
"626","120","LiquStyr","10","22.25957863503"
"627","120","LiriTuli","20","87.6892491683"
"628","121","PinuTaed","10","2998.97232155586"
"629","121","PinuEnch","20","35.07569966732"
"630","121","PinuEnch","10","0.67453268591"
